"sai_name";"sai_emu_nameshort";"fi_date";"fi_lfs_code";"fisa_x_4326";"fisa_y_4326";"length_mm";"weight_g";"age_year";"eye_diam_mean_mm";"pectoral_length_mm";"is_female_(1=female,0=male)";"is_differentiated_(1=differentiated,0_undifferentiated)";"anguillicola_presence(1=present,0=absent)";"anguillicola_intensity";"muscle_lipid_fatmeter_perc";"muscle_lipid_gravimeter_perc";"sum_6_pcb";"teq";"evex_presence_(1=present,0=absent)";"hva_presence_(1=present,0=absent)";"pb";"hg";"cd";"fi_comment";"fi_year"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-08-15;"S";NA;NA;390;114;6;"6.1";19;0;1;1;5;24.3;NA;NA;NA;NA;NA;NA;NA;NA;"322_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-08-15;"S";NA;NA;640;624;8;"8.85";35.3;1;1;0;0;22.4;NA;NA;NA;NA;NA;NA;NA;NA;"324_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-08-15;"S";NA;NA;390;105;7;"5.45";20;0;1;1;3;24.2;NA;NA;NA;NA;NA;NA;NA;NA;"333_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-08-15;"S";NA;NA;730;596;12;"8.75";36.5;1;1;1;4;26.1;NA;NA;NA;NA;NA;NA;NA;NA;"338_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-10-15;"S";NA;NA;820;1260;16;"11.15";42.8;1;1;1;2;22;NA;NA;NA;NA;NA;NA;NA;NA;"676_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-10-15;"S";NA;NA;560;318;11;"9";30.3;1;1;0;0;21.9;NA;NA;NA;NA;NA;NA;NA;NA;"680_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-10-15;"S";NA;NA;580;374;11;"7.85";30.8;1;1;1;2;21.5;NA;NA;NA;NA;NA;NA;NA;NA;"681_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-10-15;"S";NA;NA;570;317;11;"7.9";33.6;1;1;1;3;21;NA;NA;NA;NA;NA;NA;NA;NA;"682_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-10-15;"S";NA;NA;520;239;4;"7.85";26.6;1;1;1;5;23.9;NA;NA;NA;NA;NA;NA;NA;NA;"684_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
"DE_Eide_Eider_DCF_F_S";"DE_Eide";2011-10-15;"S";NA;NA;510;255;7;"7.7";30.2;1;1;1;3;22.8;NA;NA;NA;NA;NA;NA;NA;NA;"685_Date is not exact and refers to the landing date. Day was always (even if exact date is known) set to 15 for consistency, since most eels are fished and collected over a period of many days and sometimes across a month boundary. In the latter case, the first of the two month is given. Pb and Cd values are provided for dw!";"2011"
